Produto	Descri?’o	Qtd	Custo unit	Previs’o de recebimento	recebido				
3497	Produto 3497	379	R$ 508,00	27/09/2025	N’o				
4069	Produto 4069	302	R$ 3.087,00	07/10/2025	N’o				
994	Produto 994	317	R$ 3.952,00	22/09/2025	Sim				
3952	Produto 3952	283	R$ 900,00	23/09/2025	Sim				
3980	Produto 3980	321	R$ 1.730,00	19/10/2025	N’o				
408	Produto 408	209	R$ 643,00	07/09/2025	N’o				
544	Produto 544	337	R$ 3.266,00	09/10/2025	N’o				
4582	Produto 4582	367	R$ 3.169,00	05/10/2025	N’o				
4143	Produto 4143	309	R$ 234,00	06/10/2025	Sim				
4864	Produto 4864	304	R$ 3.752,00	11/10/2025	Sim				
2569	Produto 2569	332	R$ 394,00	25/09/2025	N’o				
4403	Produto 4403	398	R$ 1.312,00	28/08/2025	Sim				
2838	Produto 2838	305	R$ 2.968,00	21/09/2025	Sim				
2995	Produto 2995	318	R$ 2.423,00	17/10/2025	N’o				
481	Produto 481	304	R$ 2.223,00	19/10/2025	N’o				
488	Produto 488	377	R$ 415,00	30/09/2025	N’o				
4845	Produto 4845	296	R$ 1.615,00	09/10/2025	Sim				
2813	Produto 2813	316	R$ 2.273,00	11/09/2025	N’o				
2867	Produto 2867	368	R$ 3.584,00	11/10/2025	Sim				
673	Produto 673	365	R$ 2.838,00	23/10/2025	N’o				
1592	Produto 1592	367	R$ 618,00	27/08/2025	N’o				
3254	Produto 3254	245	R$ 3.643,00	25/09/2025	N’o				
2750	Produto 2750	301	R$ 1.244,00	28/08/2025	Sim				
2022	Produto 2022	394	R$ 1.707,00	10/10/2025	Sim				
321	Produto 321	283	R$ 2.846,00	10/09/2025	Sim				
3721	Produto 3721	335	R$ 317,00	31/08/2025	N’o				
442	Produto 442	349	R$ 2.960,00	06/09/2025	N’o				
1477	Produto 1477	366	R$ 2.038,00	02/09/2025	N’o				
562	Produto 562	329	R$ 2.731,00	29/08/2025	Sim				
808	Produto 808	322	R$ 3.336,00	08/10/2025	N’o				
3798	Produto 3798	345	R$ 1.875,00	28/08/2025	Sim				
3019	Produto 3019	243	R$ 1.595,00	31/08/2025	Sim				
3495	Produto 3495	269	R$ 1.477,00	04/10/2025	Sim				
3279	Produto 3279	343	R$ 2.876,00	17/10/2025	Sim				
483	Produto 483	369	R$ 1.145,00	25/10/2025	Sim				
1509	Produto 1509	201	R$ 2.774,00	04/10/2025	Sim				
1276	Produto 1276	294	R$ 224,00	18/09/2025	N’o				
4144	Produto 4144	271	R$ 3.304,00	27/09/2025	Sim				
4565	Produto 4565	330	R$ 2.102,00	22/10/2025	Sim				
2643	Produto 2643	293	R$ 2.248,00	17/10/2025	Sim				
2811	Produto 2811	225	R$ 1.852,00	30/08/2025	Sim				
4637	Produto 4637	366	R$ 1.557,00	30/09/2025	N’o				
467	Produto 467	317	R$ 2.227,00	01/09/2025	Sim				
2404	Produto 2404	240	R$ 2.611,00	23/10/2025	N’o				
356	Produto 356	325	R$ 1.279,00	21/09/2025	Sim				
2730	Produto 2730	347	R$ 798,00	03/09/2025	N’o				
603	Produto 603	276	R$ 1.575,00	08/09/2025	N’o				
2214	Produto 2214	316	R$ 1.409,00	09/09/2025	N’o				
480	Produto 480	324	R$ 1.947,00	26/10/2025	Sim				
2567	Produto 2567	359	R$ 2.554,00	20/09/2025	Sim				
791	Produto 791	219	R$ 346,00	30/08/2025	N’o				
4315	Produto 4315	358	R$ 1.254,00	11/09/2025	Sim				
3426	Produto 3426	385	R$ 1.248,00	09/09/2025	N’o				
3617	Produto 3617	347	R$ 2.284,00	25/09/2025	N’o				
1977	Produto 1977	301	R$ 3.047,00	14/09/2025	N’o				
3589	Produto 3589	398	R$ 3.641,00	31/08/2025	N’o				
2908	Produto 2908	240	R$ 3.333,00	18/09/2025	Sim				
1105	Produto 1105	396	R$ 3.909,00	04/10/2025	Sim				
3994	Produto 3994	376	R$ 1.893,00	05/10/2025	Sim				
249	Produto 249	310	R$ 2.909,00	13/10/2025	Sim				
384	Produto 384	393	R$ 2.127,00	29/09/2025	Sim				
4698	Produto 4698	326	R$ 256,00	22/09/2025	Sim				
1826	Produto 1826	263	R$ 426,00	28/08/2025	Sim				
1349	Produto 1349	207	R$ 1.137,00	22/10/2025	Sim				
2971	Produto 2971	266	R$ 3.377,00	04/10/2025	Sim				
253	Produto 253	357	R$ 1.764,00	10/10/2025	N’o				
4910	Produto 4910	361	R$ 1.680,00	03/10/2025	Sim				
4568	Produto 4568	299	R$ 252,00	16/09/2025	Sim				
4351	Produto 4351	220	R$ 542,00	30/09/2025	N’o				
2655	Produto 2655	393	R$ 3.700,00	09/10/2025	N’o				
3006	Produto 3006	285	R$ 2.480,00	31/08/2025	N’o				
2790	Produto 2790	369	R$ 2.109,00	03/09/2025	N’o				
956	Produto 956	358	R$ 675,00	20/09/2025	N’o				
4729	Produto 4729	399	R$ 391,00	29/09/2025	Sim				
4451	Produto 4451	267	R$ 3.665,00	15/09/2025	Sim				
2063	Produto 2063	267	R$ 731,00	18/10/2025	N’o				
2972	Produto 2972	230	R$ 3.944,00	26/09/2025	N’o				
2944	Produto 2944	224	R$ 3.490,00	21/10/2025	Sim				
403	Produto 403	375	R$ 1.062,00	08/10/2025	Sim				
2302	Produto 2302	262	R$ 2.984,00	21/09/2025	N’o				
2844	Produto 2844	226	R$ 958,00	23/09/2025	Sim				
746	Produto 746	209	R$ 1.236,00	24/10/2025	N’o				
4606	Produto 4606	315	R$ 1.382,00	05/10/2025	Sim				
4389	Produto 4389	317	R$ 3.598,00	19/09/2025	N’o				
4859	Produto 4859	322	R$ 2.431,00	02/10/2025	N’o				
4698	Produto 4698	394	R$ 1.674,00	23/10/2025	Sim				
1065	Produto 1065	242	R$ 403,00	29/08/2025	N’o				
402	Produto 402	249	R$ 2.898,00	13/10/2025	N’o				
1914	Produto 1914	398	R$ 1.395,00	01/09/2025	N’o				
1822	Produto 1822	325	R$ 697,00	24/09/2025	N’o				
3237	Produto 3237	311	R$ 3.643,00	19/09/2025	Sim				
1931	Produto 1931	274	R$ 2.034,00	12/09/2025	N’o				
4717	Produto 4717	359	R$ 2.723,00	30/09/2025	Sim				
1856	Produto 1856	203	R$ 1.384,00	26/10/2025	N’o				
4843	Produto 4843	233	R$ 3.465,00	29/09/2025	N’o				
3582	Produto 3582	205	R$ 2.363,00	29/08/2025	Sim				
1208	Produto 1208	359	R$ 1.303,00	23/10/2025	Sim				
3383	Produto 3383	279	R$ 1.785,00	12/10/2025	N’o				
4160	Produto 4160	242	R$ 3.666,00	13/10/2025	Sim				
1986	Produto 1986	327	R$ 3.676,00	24/10/2025	Sim				
4498	Produto 4498	254	R$ 1.026,00	28/09/2025	Sim				
2236	Produto 2236	209	R$ 311,00	14/10/2025	N’o				
3108	Produto 3108	373	R$ 409,00	07/10/2025	Sim				
4798	Produto 4798	280	R$ 3.356,00	21/09/2025	N’o				
1267	Produto 1267	306	R$ 206,00	24/09/2025	N’o				
560	Produto 560	268	R$ 1.786,00	22/10/2025	Sim				
3895	Produto 3895	328	R$ 3.538,00	21/09/2025	N’o				
4733	Produto 4733	338	R$ 1.871,00	16/09/2025	N’o				
1813	Produto 1813	302	R$ 1.190,00	04/10/2025	Sim				
1845	Produto 1845	253	R$ 3.352,00	29/08/2025	N’o				
4908	Produto 4908	263	R$ 2.877,00	25/10/2025	N’o				
685	Produto 685	225	R$ 1.765,00	06/09/2025	N’o				
1705	Produto 1705	305	R$ 2.556,00	04/10/2025	N’o				
713	Produto 713	251	R$ 488,00	27/08/2025	N’o				
3729	Produto 3729	232	R$ 201,00	06/10/2025	Sim				
3466	Produto 3466	277	R$ 891,00	17/10/2025	Sim				
1736	Produto 1736	384	R$ 414,00	18/09/2025	Sim				
1104	Produto 1104	229	R$ 2.605,00	21/09/2025	N’o				
4581	Produto 4581	306	R$ 516,00	07/10/2025	N’o				
2224	Produto 2224	200	R$ 1.728,00	19/10/2025	Sim				
1052	Produto 1052	346	R$ 2.987,00	01/10/2025	Sim				
1859	Produto 1859	381	R$ 3.032,00	19/10/2025	Sim				
2255	Produto 2255	328	R$ 1.903,00	30/08/2025	N’o				
4136	Produto 4136	311	R$ 1.791,00	30/09/2025	N’o				
3755	Produto 3755	254	R$ 2.997,00	06/09/2025	N’o				
2529	Produto 2529	300	R$ 397,00	30/09/2025	N’o				
347	Produto 347	220	R$ 771,00	07/09/2025	Sim				
4441	Produto 4441	284	R$ 2.991,00	05/09/2025	Sim				
4488	Produto 4488	233	R$ 231,00	02/09/2025	Sim				
405	Produto 405	353	R$ 1.389,00	21/10/2025	Sim				
3487	Produto 3487	232	R$ 804,00	01/10/2025	Sim				
3748	Produto 3748	383	R$ 1.721,00	16/10/2025	N’o				
3474	Produto 3474	297	R$ 1.861,00	17/09/2025	N’o				
4286	Produto 4286	379	R$ 1.747,00	07/09/2025	Sim				
2743	Produto 2743	275	R$ 3.595,00	01/10/2025	N’o				
1765	Produto 1765	341	R$ 2.836,00	09/09/2025	N’o				
2629	Produto 2629	259	R$ 3.947,00	12/10/2025	Sim				
3991	Produto 3991	337	R$ 564,00	20/09/2025	Sim				
2224	Produto 2224	279	R$ 342,00	09/10/2025	Sim				
1473	Produto 1473	276	R$ 2.298,00	10/09/2025	Sim				
3965	Produto 3965	295	R$ 872,00	08/10/2025	Sim				
1835	Produto 1835	333	R$ 2.770,00	27/08/2025	Sim				
4262	Produto 4262	385	R$ 3.267,00	15/10/2025	N’o				
2177	Produto 2177	209	R$ 411,00	28/09/2025	N’o				
3545	Produto 3545	303	R$ 1.679,00	09/09/2025	Sim				
4332	Produto 4332	288	R$ 885,00	30/09/2025	Sim				
4425	Produto 4425	292	R$ 400,00	22/10/2025	Sim				
4099	Produto 4099	293	R$ 1.039,00	07/09/2025	Sim				
4398	Produto 4398	217	R$ 2.138,00	29/09/2025	N’o				
2044	Produto 2044	238	R$ 3.148,00	12/10/2025	Sim				
3286	Produto 3286	211	R$ 2.242,00	28/08/2025	Sim				
351	Produto 351	314	R$ 1.615,00	22/09/2025	N’o				
922	Produto 922	294	R$ 1.010,00	14/10/2025	N’o				
3925	Produto 3925	307	R$ 2.662,00	24/10/2025	N’o				
2442	Produto 2442	337	R$ 3.010,00	27/09/2025	Sim				
2303	Produto 2303	237	R$ 2.645,00	04/09/2025	Sim				
749	Produto 749	269	R$ 1.158,00	19/09/2025	N’o				
3805	Produto 3805	246	R$ 1.275,00	22/10/2025	N’o				
311	Produto 311	214	R$ 899,00	12/09/2025	N’o				
1974	Produto 1974	348	R$ 3.980,00	05/09/2025	Sim				
2537	Produto 2537	348	R$ 2.392,00	15/10/2025	N’o				
1965	Produto 1965	234	R$ 2.424,00	07/09/2025	Sim				
4701	Produto 4701	322	R$ 2.246,00	19/09/2025	N’o				
3334	Produto 3334	366	R$ 2.584,00	11/10/2025	N’o				
2563	Produto 2563	222	R$ 1.280,00	15/09/2025	Sim				
683	Produto 683	290	R$ 3.238,00	21/09/2025	Sim				
981	Produto 981	342	R$ 3.581,00	25/09/2025	Sim				
203	Produto 203	253	R$ 1.729,00	10/09/2025	N’o				
3405	Produto 3405	205	R$ 3.747,00	05/09/2025	N’o				
4195	Produto 4195	207	R$ 2.725,00	28/09/2025	Sim				
1126	Produto 1126	208	R$ 1.864,00	19/10/2025	N’o				
2961	Produto 2961	318	R$ 3.486,00	29/09/2025	N’o				
3945	Produto 3945	256	R$ 1.855,00	25/10/2025	N’o				
4485	Produto 4485	316	R$ 950,00	01/09/2025	N’o				
4043	Produto 4043	231	R$ 714,00	23/09/2025	Sim				
1622	Produto 1622	304	R$ 1.928,00	14/10/2025	N’o				
4395	Produto 4395	314	R$ 2.022,00	18/09/2025	Sim				
277	Produto 277	202	R$ 1.745,00	09/09/2025	N’o				
3680	Produto 3680	285	R$ 2.178,00	21/09/2025	Sim				
3620	Produto 3620	339	R$ 2.888,00	30/09/2025	Sim				
3814	Produto 3814	272	R$ 869,00	10/10/2025	Sim				
4773	Produto 4773	325	R$ 3.646,00	17/10/2025	Sim				
4190	Produto 4190	255	R$ 1.546,00	08/10/2025	Sim				
2575	Produto 2575	259	R$ 759,00	28/09/2025	Sim				
2350	Produto 2350	221	R$ 3.821,00	21/10/2025	Sim				
4579	Produto 4579	383	R$ 3.214,00	16/10/2025	N’o				
696	Produto 696	371	R$ 2.129,00	18/09/2025	Sim				
4003	Produto 4003	333	R$ 991,00	22/09/2025	N’o				
3915	Produto 3915	312	R$ 2.155,00	05/10/2025	Sim				
1963	Produto 1963	250	R$ 395,00	20/10/2025	Sim				
1165	Produto 1165	217	R$ 2.632,00	24/09/2025	Sim				
1082	Produto 1082	206	R$ 1.458,00	15/09/2025	N’o				
508	Produto 508	330	R$ 1.938,00	16/09/2025	N’o				
3669	Produto 3669	215	R$ 3.026,00	29/09/2025	Sim				
2916	Produto 2916	333	R$ 2.191,00	26/09/2025	N’o				
315	Produto 315	256	R$ 802,00	27/08/2025	Sim				
2977	Produto 2977	368	R$ 1.324,00	02/10/2025	N’o				
2623	Produto 2623	323	R$ 3.254,00	04/10/2025	N’o				
1084	Produto 1084	286	R$ 221,00	28/09/2025	Sim				
2014	Produto 2014	201	R$ 1.701,00	02/09/2025	Sim				
3583	Produto 3583	393	R$ 2.135,00	29/09/2025	Sim				
2290	Produto 2290	273	R$ 2.688,00	15/09/2025	Sim				
2118	Produto 2118	389	R$ 413,00	15/10/2025	Sim				
372	Produto 372	234	R$ 1.599,00	20/10/2025	Sim				
1952	Produto 1952	223	R$ 1.030,00	30/09/2025	N’o				
944	Produto 944	293	R$ 3.121,00	10/09/2025	Sim				
2511	Produto 2511	315	R$ 3.822,00	12/10/2025	N’o				
2205	Produto 2205	313	R$ 2.414,00	04/10/2025	Sim				
4768	Produto 4768	349	R$ 1.993,00	30/08/2025	Sim				
3371	Produto 3371	221	R$ 3.978,00	23/10/2025	N’o				
1454	Produto 1454	241	R$ 2.516,00	02/10/2025	N’o				
4604	Produto 4604	238	R$ 3.116,00	07/09/2025	N’o				
877	Produto 877	380	R$ 3.802,00	29/09/2025	N’o				
4646	Produto 4646	388	R$ 901,00	27/09/2025	N’o				
3186	Produto 3186	316	R$ 2.874,00	07/09/2025	Sim				
989	Produto 989	287	R$ 3.496,00	05/10/2025	N’o				
4478	Produto 4478	327	R$ 2.229,00	09/10/2025	Sim				
2907	Produto 2907	218	R$ 833,00	29/09/2025	Sim				
3588	Produto 3588	381	R$ 2.200,00	13/10/2025	N’o				
4366	Produto 4366	277	R$ 234,00	09/10/2025	Sim				
3864	Produto 3864	256	R$ 410,00	12/09/2025	N’o				
595	Produto 595	299	R$ 917,00	08/09/2025	N’o				
989	Produto 989	350	R$ 435,00	17/09/2025	Sim				
3181	Produto 3181	310	R$ 3.711,00	09/09/2025	Sim				
4338	Produto 4338	208	R$ 3.777,00	03/10/2025	Sim				
526	Produto 526	299	R$ 3.675,00	22/10/2025	Sim				
4275	Produto 4275	370	R$ 3.771,00	14/09/2025	Sim				
1298	Produto 1298	362	R$ 3.115,00	11/10/2025	N’o				
1559	Produto 1559	330	R$ 228,00	23/10/2025	Sim				
4765	Produto 4765	382	R$ 314,00	01/10/2025	Sim				
2486	Produto 2486	308	R$ 2.497,00	28/09/2025	N’o				
3697	Produto 3697	400	R$ 3.341,00	15/10/2025	Sim				
4097	Produto 4097	218	R$ 1.435,00	18/09/2025	N’o				
4708	Produto 4708	334	R$ 1.697,00	08/10/2025	N’o				
387	Produto 387	391	R$ 2.895,00	18/09/2025	Sim				
4894	Produto 4894	224	R$ 2.939,00	09/09/2025	N’o				
700	Produto 700	208	R$ 3.832,00	09/09/2025	Sim				
503	Produto 503	330	R$ 2.438,00	17/09/2025	N’o				
2845	Produto 2845	275	R$ 1.987,00	27/08/2025	N’o				
3886	Produto 3886	271	R$ 2.775,00	23/09/2025	N’o				
3986	Produto 3986	221	R$ 1.186,00	02/09/2025	N’o				
1715	Produto 1715	397	R$ 1.169,00	11/09/2025	Sim				
3713	Produto 3713	306	R$ 498,00	08/10/2025	N’o				
3089	Produto 3089	324	R$ 1.888,00	14/10/2025	N’o				
2068	Produto 2068	257	R$ 2.424,00	17/10/2025	Sim				
3299	Produto 3299	222	R$ 1.061,00	21/09/2025	N’o				
4161	Produto 4161	276	R$ 2.718,00	24/09/2025	N’o				
4789	Produto 4789	397	R$ 1.831,00	10/09/2025	Sim				
4435	Produto 4435	337	R$ 3.732,00	07/10/2025	Sim				
2259	Produto 2259	337	R$ 1.133,00	04/10/2025	N’o				
3792	Produto 3792	358	R$ 696,00	09/10/2025	Sim				
4709	Produto 4709	296	R$ 1.979,00	03/10/2025	N’o				
531	Produto 531	342	R$ 725,00	12/10/2025	N’o				
4508	Produto 4508	227	R$ 359,00	26/09/2025	N’o				
4517	Produto 4517	328	R$ 3.540,00	19/09/2025	Sim				
4067	Produto 4067	200	R$ 3.184,00	09/09/2025	Sim				
4951	Produto 4951	268	R$ 1.589,00	16/09/2025	N’o				
4607	Produto 4607	249	R$ 2.937,00	23/10/2025	Sim				
3597	Produto 3597	298	R$ 2.315,00	26/10/2025	Sim				
1102	Produto 1102	244	R$ 3.893,00	28/09/2025	N’o				
4320	Produto 4320	316	R$ 1.774,00	04/09/2025	Sim				
835	Produto 835	326	R$ 2.385,00	19/09/2025	N’o				
2103	Produto 2103	270	R$ 2.237,00	22/10/2025	N’o				
4807	Produto 4807	271	R$ 238,00	19/10/2025	N’o				
3343	Produto 3343	209	R$ 946,00	17/09/2025	Sim				
2104	Produto 2104	273	R$ 219,00	16/09/2025	Sim				
965	Produto 965	225	R$ 1.343,00	24/09/2025	Sim				
3718	Produto 3718	326	R$ 937,00	05/09/2025	Sim				
3652	Produto 3652	333	R$ 1.334,00	14/09/2025	N’o				
3011	Produto 3011	210	R$ 3.044,00	10/10/2025	Sim				
942	Produto 942	210	R$ 1.542,00	09/10/2025	N’o				
4590	Produto 4590	237	R$ 1.975,00	16/10/2025	N’o				
2299	Produto 2299	331	R$ 863,00	06/10/2025	N’o				
1781	Produto 1781	326	R$ 1.591,00	21/09/2025	N’o				
4129	Produto 4129	247	R$ 3.097,00	13/09/2025	N’o				
3747	Produto 3747	367	R$ 2.728,00	25/10/2025	N’o				
4933	Produto 4933	277	R$ 3.518,00	24/09/2025	Sim				
2447	Produto 2447	387	R$ 3.386,00	09/09/2025	N’o				
1193	Produto 1193	249	R$ 416,00	14/10/2025	N’o				
3845	Produto 3845	372	R$ 385,00	25/10/2025	Sim				
1400	Produto 1400	309	R$ 408,00	15/09/2025	Sim				
2806	Produto 2806	399	R$ 875,00	18/10/2025	N’o				
1626	Produto 1626	225	R$ 951,00	27/08/2025	N’o				
4051	Produto 4051	372	R$ 3.976,00	19/10/2025	Sim				
584	Produto 584	222	R$ 861,00	19/09/2025	N’o				
1486	Produto 1486	263	R$ 3.472,00	01/09/2025	N’o				
1455	Produto 1455	360	R$ 814,00	10/10/2025	N’o				
2055	Produto 2055	277	R$ 1.366,00	02/09/2025	N’o				
4480	Produto 4480	219	R$ 1.227,00	26/10/2025	N’o				
889	Produto 889	205	R$ 1.167,00	25/10/2025	N’o				
3906	Produto 3906	346	R$ 607,00	30/09/2025	N’o				
1659	Produto 1659	356	R$ 241,00	20/10/2025	Sim				
796	Produto 796	271	R$ 3.651,00	02/10/2025	N’o				
337	Produto 337	305	R$ 2.253,00	25/10/2025	N’o				
468	Produto 468	272	R$ 2.365,00	02/10/2025	Sim				
2672	Produto 2672	333	R$ 2.032,00	06/09/2025	N’o				
1919	Produto 1919	387	R$ 2.317,00	28/08/2025	N’o				
3563	Produto 3563	233	R$ 1.491,00	04/09/2025	Sim				
2106	Produto 2106	366	R$ 1.032,00	01/09/2025	N’o				
3335	Produto 3335	339	R$ 2.627,00	07/09/2025	N’o				
2548	Produto 2548	308	R$ 2.580,00	10/10/2025	N’o				
2525	Produto 2525	400	R$ 2.229,00	14/10/2025	N’o				
1795	Produto 1795	246	R$ 1.447,00	17/10/2025	Sim				
3778	Produto 3778	334	R$ 1.765,00	24/10/2025	Sim				
253	Produto 253	292	R$ 3.692,00	23/09/2025	N’o				
1303	Produto 1303	243	R$ 2.385,00	06/10/2025	N’o				
3365	Produto 3365	384	R$ 1.889,00	31/08/2025	N’o				
3226	Produto 3226	275	R$ 806,00	21/09/2025	Sim				
4139	Produto 4139	360	R$ 3.932,00	21/10/2025	Sim				
374	Produto 374	360	R$ 1.974,00	21/09/2025	N’o				
4823	Produto 4823	310	R$ 2.181,00	17/10/2025	Sim				
1510	Produto 1510	298	R$ 1.863,00	17/10/2025	Sim				
4510	Produto 4510	210	R$ 1.132,00	23/09/2025	N’o				
3358	Produto 3358	339	R$ 1.248,00	27/09/2025	N’o				
4702	Produto 4702	390	R$ 3.054,00	22/10/2025	N’o				
1301	Produto 1301	247	R$ 3.361,00	02/09/2025	N’o				
3301	Produto 3301	224	R$ 3.286,00	31/08/2025	N’o				
4849	Produto 4849	340	R$ 2.216,00	03/09/2025	N’o				
4920	Produto 4920	273	R$ 1.724,00	12/10/2025	N’o				
3971	Produto 3971	223	R$ 3.594,00	15/09/2025	N’o				
1142	Produto 1142	241	R$ 2.139,00	30/09/2025	Sim				
758	Produto 758	224	R$ 1.146,00	08/10/2025	Sim				
3965	Produto 3965	233	R$ 721,00	24/10/2025	N’o				
1900	Produto 1900	200	R$ 3.132,00	07/09/2025	N’o				
2625	Produto 2625	227	R$ 1.243,00	16/09/2025	N’o				
751	Produto 751	379	R$ 3.194,00	15/09/2025	N’o				
966	Produto 966	396	R$ 3.889,00	11/10/2025	Sim				
2979	Produto 2979	263	R$ 2.366,00	14/10/2025	N’o				
4160	Produto 4160	356	R$ 854,00	01/10/2025	Sim				
4343	Produto 4343	339	R$ 864,00	22/10/2025	N’o				
4946	Produto 4946	205	R$ 2.701,00	03/09/2025	Sim				
4163	Produto 4163	244	R$ 3.192,00	08/10/2025	Sim				
2511	Produto 2511	343	R$ 1.226,00	12/09/2025	Sim				
4308	Produto 4308	245	R$ 1.044,00	15/09/2025	N’o				
3301	Produto 3301	318	R$ 3.550,00	11/09/2025	Sim				
390	Produto 390	292	R$ 2.060,00	30/08/2025	Sim				
3790	Produto 3790	341	R$ 3.002,00	12/09/2025	Sim				
2492	Produto 2492	369	R$ 1.240,00	13/09/2025	Sim				
3195	Produto 3195	328	R$ 225,00	26/10/2025	N’o				
1346	Produto 1346	335	R$ 1.392,00	17/09/2025	N’o				
975	Produto 975	273	R$ 2.483,00	02/09/2025	Sim				
3567	Produto 3567	271	R$ 3.810,00	06/09/2025	N’o				
3506	Produto 3506	214	R$ 1.466,00	15/09/2025	N’o				
2508	Produto 2508	389	R$ 2.005,00	19/10/2025	Sim				
1298	Produto 1298	395	R$ 535,00	11/09/2025	Sim				
2908	Produto 2908	389	R$ 3.763,00	21/10/2025	N’o				
1968	Produto 1968	289	R$ 951,00	06/10/2025	Sim				
2226	Produto 2226	374	R$ 1.564,00	18/10/2025	N’o				
2642	Produto 2642	325	R$ 498,00	26/10/2025	N’o				
626	Produto 626	210	R$ 2.223,00	19/10/2025	Sim				
2617	Produto 2617	338	R$ 2.801,00	03/09/2025	N’o				
1867	Produto 1867	314	R$ 3.516,00	07/10/2025	Sim				
518	Produto 518	376	R$ 2.599,00	04/10/2025	Sim				
4528	Produto 4528	313	R$ 2.700,00	14/09/2025	N’o				
3863	Produto 3863	345	R$ 3.030,00	31/08/2025	Sim				
3776	Produto 3776	262	R$ 3.687,00	12/09/2025	Sim				
819	Produto 819	277	R$ 3.446,00	10/10/2025	N’o				
3111	Produto 3111	250	R$ 1.290,00	03/09/2025	Sim				
2079	Produto 2079	258	R$ 864,00	23/09/2025	Sim				
3985	Produto 3985	343	R$ 2.731,00	09/10/2025	Sim				
2309	Produto 2309	227	R$ 3.834,00	31/08/2025	N’o				
2849	Produto 2849	216	R$ 2.947,00	25/10/2025	N’o				
3230	Produto 3230	311	R$ 3.402,00	07/09/2025	N’o				
1254	Produto 1254	360	R$ 2.502,00	10/10/2025	N’o				
3971	Produto 3971	323	R$ 3.317,00	12/10/2025	N’o				
824	Produto 824	399	R$ 3.977,00	20/10/2025	Sim				
1491	Produto 1491	225	R$ 2.671,00	29/08/2025	N’o				
4078	Produto 4078	273	R$ 994,00	08/09/2025	N’o				
2850	Produto 2850	276	R$ 1.469,00	29/08/2025	Sim				
3036	Produto 3036	211	R$ 1.060,00	16/10/2025	Sim				
1126	Produto 1126	314	R$ 3.211,00	30/09/2025	N’o				
353	Produto 353	380	R$ 3.785,00	23/10/2025	Sim				
2860	Produto 2860	274	R$ 3.952,00	04/10/2025	Sim				
777	Produto 777	235	R$ 436,00	11/10/2025	N’o				
3238	Produto 3238	251	R$ 1.026,00	11/10/2025	Sim				
4596	Produto 4596	349	R$ 3.073,00	06/10/2025	Sim				
404	Produto 404	238	R$ 2.278,00	20/09/2025	Sim				
825	Produto 825	265	R$ 2.079,00	26/09/2025	N’o				
439	Produto 439	318	R$ 931,00	22/09/2025	N’o				
1814	Produto 1814	393	R$ 3.235,00	13/10/2025	Sim				
2329	Produto 2329	233	R$ 859,00	19/09/2025	N’o				
2825	Produto 2825	331	R$ 1.188,00	14/10/2025	Sim				
3297	Produto 3297	282	R$ 1.616,00	13/10/2025	Sim				
2948	Produto 2948	301	R$ 856,00	20/09/2025	N’o				
1983	Produto 1983	397	R$ 1.280,00	07/09/2025	Sim				
4448	Produto 4448	309	R$ 2.692,00	22/10/2025	N’o				
4028	Produto 4028	239	R$ 1.612,00	20/09/2025	Sim				
2680	Produto 2680	327	R$ 1.195,00	03/10/2025	Sim				
205	Produto 205	239	R$ 3.762,00	27/09/2025	Sim				
3128	Produto 3128	232	R$ 2.215,00	05/10/2025	Sim				
3027	Produto 3027	315	R$ 2.782,00	21/10/2025	N’o				
3892	Produto 3892	359	R$ 3.873,00	29/09/2025	N’o				
1304	Produto 1304	391	R$ 2.189,00	02/09/2025	N’o				
3477	Produto 3477	308	R$ 2.358,00	06/10/2025	Sim				
736	Produto 736	324	R$ 1.804,00	21/09/2025	Sim				
3062	Produto 3062	398	R$ 1.484,00	11/09/2025	Sim				
1472	Produto 1472	342	R$ 1.392,00	28/09/2025	Sim				
2057	Produto 2057	329	R$ 433,00	30/09/2025	N’o				
2237	Produto 2237	256	R$ 382,00	18/10/2025	Sim				
4700	Produto 4700	329	R$ 3.888,00	10/10/2025	N’o				
3627	Produto 3627	348	R$ 710,00	28/08/2025	N’o				
619	Produto 619	307	R$ 2.442,00	05/09/2025	N’o				
4266	Produto 4266	232	R$ 3.215,00	23/09/2025	N’o				
2783	Produto 2783	223	R$ 1.560,00	01/09/2025	Sim				
4149	Produto 4149	400	R$ 2.529,00	03/10/2025	N’o				
555	Produto 555	340	R$ 2.633,00	10/09/2025	Sim				
3809	Produto 3809	308	R$ 411,00	19/09/2025	Sim				
3963	Produto 3963	320	R$ 2.789,00	11/10/2025	Sim				
4097	Produto 4097	382	R$ 747,00	28/09/2025	Sim				
1469	Produto 1469	261	R$ 1.326,00	29/08/2025	N’o				
1278	Produto 1278	226	R$ 2.955,00	14/10/2025	Sim				
3829	Produto 3829	298	R$ 3.990,00	11/09/2025	N’o				
685	Produto 685	254	R$ 2.086,00	06/09/2025	Sim				
3705	Produto 3705	292	R$ 2.520,00	26/10/2025	Sim				
4461	Produto 4461	374	R$ 424,00	20/10/2025	Sim				
542	Produto 542	203	R$ 1.848,00	19/09/2025	Sim				
324	Produto 324	234	R$ 1.034,00	06/09/2025	N’o				
4210	Produto 4210	348	R$ 1.786,00	09/09/2025	Sim				
2438	Produto 2438	266	R$ 3.018,00	14/10/2025	N’o				
4846	Produto 4846	319	R$ 2.662,00	13/09/2025	N’o				
579	Produto 579	376	R$ 3.597,00	27/08/2025	Sim				
